,RW,HL1,HL2,HL3
0,-7.866161308586665,18.803223080767395,-9.654683106218059,-16.280294203203336
1,-7.521366264626882,18.20238806793081,-10.549485297285122,-15.648836915438073
2,-7.047845422198974,17.72473327240258,-12.051794202125388,-15.028179792749253
3,-6.5549080621222675,17.27191031372278,-12.533907534654608,-14.449117601648206
4,-6.059453007685175,16.685039512661678,-12.849198300222852,-13.972721447640165
5,-5.55944592159389,16.141096844616587,-13.42943800639613,-13.500537228442788
6,-5.087894676259416,15.58233207806453,-14.304955850864296,-13.033246240750223
7,-4.722247715461721,15.011617316563303,-16.016455248287844,-12.568493840403496
8,-4.381688440597632,14.464374906628356,-15.252532665042473,-12.110886920958828
9,-3.932260939210982,13.944438387457772,-14.459402060714453,-11.656799027830441
10,-3.5032022432012977,13.546129162547698,-13.836672614381998,-11.216327019917887
11,-3.1227701724936785,12.995351804232431,-13.140028815270641,-10.858046240396515
12,-2.6760192860537892,12.461116684001334,-12.431123201767715,-10.41101815683023
13,2.7620886879564273,12.103729075784834,-11.825673468542842,-10.024647268001267
14,3.2702660460404998,11.595757774830442,-10.54711177915701,-9.73421900847842
15,3.922678973575084,11.216942821567951,-9.465341235796913,-9.503501540322302
16,4.742033453880629,10.794463833338158,-9.060033374261304,-9.266344798811671
17,5.082748588218806,10.521818788961706,-8.750762026981532,-8.95723794267304
18,5.039624841441029,10.215554055653293,-8.359309887067608,-8.780317386162704
19,4.840884795908984,9.801828970846357,-7.889231930363935,-8.499453709356262
20,4.80578487993504,9.399420363949481,-7.418006621468009,-8.141119233593068
21,4.442332758527881,8.921307406007177,-6.950303299995319,-7.82702184976652
22,4.007688469204768,8.421817440360051,-6.500992780269732,-7.715974846323395
23,3.722269108323654,8.060544858894975,-6.039615056054298,-7.516818956785608
24,3.573144982092403,-8.019047757715828,-5.5663067925579925,-7.237167466517076
25,3.5024407516161427,-8.46532593254115,-5.166837689468201,-7.012839595976092
26,-3.7503320534337368,-8.736752318577906,-4.9051999171627445,-7.017859245676984
27,-4.21371667952532,-9.025058073514888,-4.3985081245138575,-7.152020394217347
28,-4.597032470073066,-9.434700970962664,-3.871042944602675,-7.651738249804527
29,-4.8697381527177015,-9.809067735477994,-3.9011055062215343,-8.022489937476305
30,-5.159609923948581,-10.326294414859015,-4.134802783794921,-7.812735343956116
31,-5.504317588809066,-10.910201313528008,-4.572900778938305,-6.928290499015375
32,-5.957332904289469,-11.392159136613571,-5.046984286235916,-5.977541912347627
33,-6.320246245653232,-12.000798916922639,-5.397122520528442,-5.507750780055408
34,-6.603644101139147,-12.857336616851487,-5.830463494369887,-5.221016235726252
35,-6.833875308959972,-13.780031882031022,-6.213282015535233,-4.90627211547951
36,-6.972549276067015,-14.490037669144144,-6.596963666331913,-4.450145455129241
37,7.670604504173041,-14.979837340001728,-6.9321696215305595,-3.938150605232697
38,8.288361056551087,-15.428727258426978,-7.10227005549219,3.8113669397953784
39,-7.9639094174475,-15.801496927728843,-7.242295350820992,4.407684375971431
40,-8.414460552077886,-16.357481815520774,-7.374541441993197,5.189905384117542
41,-8.9002790594574,-17.16552159243973,-7.639442868696646,5.916973156063634
42,-9.51757725630352,-17.935555797872667,-7.906516412022428,6.443457097749451
43,-10.047202622760015,-19.069792566817334,-8.168841444058785,7.00882041586798
