,hurst_exp
128,0.3218908206696627
129,0.32183396504442285
130,0.32089996367653506
131,0.32280248883349605
132,0.32547474714212093
133,0.32841344705170467
134,0.3332651021132252
135,0.3371336874623897
136,0.33769200074646477
137,0.33952613188015635
138,0.3409351301779827
139,0.34107695323747483
140,0.33409137835999003
141,0.32806416508698494
142,0.3236359914358662
143,0.3168643745788036
144,0.3114617438841846
145,0.3090635839622465
146,0.307097189422976
147,0.303865955665261
148,0.30209184969251385
149,0.296672754295866
150,0.28854232913138717
151,0.2789296946821757
152,0.2666434131011164
153,0.25490692249508506
154,0.24248743519469876
155,0.23449122019136276
156,0.2285787582959964
157,0.22824413143477995
158,0.2315880289375136
159,0.23754576514137182
160,0.24378081420681752
161,0.24800979092899508
162,0.2553117171102118
163,0.262327422447684
164,0.27204950001772904
165,0.28269563168769274
166,0.29233139872003744
167,0.3030241731026234
168,0.31541689004980555
169,0.32758025339088354
170,0.33587339240632885
171,0.3421095256373285
172,0.35038514485792155
173,0.36024689737534177
174,0.37126647848244076
175,0.3813639980180203
176,0.3886021044179821
177,0.3952397505843286
178,0.4014769903898463
179,0.4066026257033962
180,0.4117731404515796
181,0.41605033742803044
182,0.41851059578286726
183,0.4221357881199566
184,0.4252221868262921
185,0.4278518024862916
186,0.4312067586710376
187,0.4331429408150573
188,0.43459734932312055
189,0.4372890397425656
190,0.440183204586506
191,0.44186149950500925
192,0.4438361153538915
193,0.4457310952077761
194,0.4484102137026574
195,0.45026163463540486
196,0.45416469964360373
197,0.4572382797090737
198,0.45991950693055905
199,0.4633127916669375
200,0.46040616904906184
201,0.45661852626520394
202,0.45195459177038255
203,0.4468823193510725
204,0.4417451062516249
205,0.4378132705851615
206,0.4328050352560831
207,0.42627856335599384
208,0.4191299037620238
209,0.4129317693848982
210,0.4030310250272923
211,0.3940932506515102
212,0.38336386750643237
213,0.3728333727793753
214,0.36224319512515607
215,0.3523203766534312
216,0.3416804468148293
217,0.3295290167824609
218,0.3179003501179657
219,0.3062083123320835
220,0.29394579345829874
221,0.2840321070526681
222,0.27663350622986027
223,0.2678682782282142
224,0.2606392690169585
225,0.25603352233979343
226,0.25007357379780937
227,0.2346603211901587
228,0.21761241878481632
229,0.21005607459143172
230,0.19818835037753885
231,0.18176110102336718
232,0.164163262312261
233,0.1518464615627752
234,0.14003627507264216
235,0.13025284530403827
236,0.12004081108306873
237,0.11120123553257118
238,0.10737193292327359
239,0.11165471996342304
240,0.11197951037608155
241,0.10122273544610073
242,0.09322277297879855
243,0.09108156026691777
244,0.08997314169664
245,0.08540386090073591
246,0.0864576727540572
247,0.08861738203892416
248,0.08684333522703248
249,0.09456439182664922
250,0.10143752170936239
251,0.09719123236153754
252,0.09646051968136563
253,0.0991271137152622
254,0.10707361479290231
255,0.11816151178546212
256,0.13187182711339718
257,0.1435573566889233
258,0.15598802933521602
259,0.1660088990825189
260,0.1737392895130481
261,0.18317003828470493
262,0.19109562436935418
263,0.20164639996147699
264,0.21189652570809092
265,0.21470403871547458
266,0.2273896710396019
267,0.23696441457131934
268,0.24740508919283496
269,0.2548010492153492
270,0.25652097797593326
271,0.2575525068343819
272,0.257389150140105
273,0.25693824366155094
274,0.2583582611986814
